route_id,stop_id_list
10001,"['21113', '21228', '20915', '22651', '21264', '20839', '20617', '21450', '20904', '21528', '20816', '20885', '20999', '21252', '20920', '37944', '25816', '20694', '21253', '20700', '21246', '35795']"
10004,"['21545', '21543', '21445', '21449', '21148', '20623', '20897', '22134', '22404', '21979', '21841', '21843', '22198', '22571', '21659', '34271', '22573', '22376', '28772', '21823', '21825', '22076', '35827', '31969', '33165', '32567', '33644', '29871']"
10014,"['20944', '21123', '21272', '35403', '21495', '21473', '21471', '21535', '20577', '20584', '20558', '38801', '21101', '28613', '20600', '20930', '20906', '21204', '20937', '39572', '21206', '26277', '21530', '21456', '21508', '21475', '21493', '21516', '21547', '21488', '21510', '21562', '21549', '21599', '21526', '21486', '21484', '21533', '21482', '21558', '21512', '21610', '21586', '21505', '21554', '21596', '21568', '21490', '21514', '21618', '21613', '21601', '21620', '35554', '35636', '32571', '26861', '24553', '33828', '26882', '33188', '34391', '31456', '32972', '34809', '28611', '30674', '33187', '34643', '32227', '33278', '33258', '34569', '28687', '28856', '28854', '28140', '32095']"
10016,"['28611', '34809', '32973', '34994', '27975', '33189', '26882', '33828', '24553', '34777', '25162', '29622', '29438', '21619', '21600', '21612', '21611', '21513', '21489', '21567', '21595', '21553', '21504', '21585', '21609', '21511', '21559', '21481', '21524', '21483', '21485', '21521', '21598', '21548', '21561', '21509', '21487', '21546', '21515', '21492', '21474', '24294', '21455', '21523', '20874', '21205', '20936', '21203', '20905', '20929', '20599', '20976', '21102', '38800', '20559', '20585', '20578', '21534', '21470', '21472', '21605', '35396', '21124', '20945']"
10019,"['20647', '20650', '24363', '35428', '21748', '22406', '22264', '22162', '32058', '32059', '22735', '34658', '28331', '32260', '34372']"
10020,"['34372', '24480', '22733', '26582', '30196', '30052', '30050', '22162', '22265', '22407', '24302', '20646', '20652', '20651', '20649']"
10034,"['36706', '32897', '34369', '34179', '26490', '34106', '34006', '34004', '31408', '26528', '25734']"
10035,"['22462', '23570', '22110', '21950', '21779', '21770', '21937', '27066', '34728', '34096', '32847', '26528', '28123', '29139', '29143', '29329', '26474', '27517', '34370', '25825', '35123']"
10038,"['35777', '36498']"
10040,"['25329', '20780', '20715', '20853', '35427', '20738', '20626', '21056', '21044', '35393', '35396', '21124', '20945']"
10041,"['35759', '36702']"
10044,"['24833', '35721', '35390']"
10045,"['36407', '24833']"
10047,"['21126', '22667', '20725', '35383', '20922', '20603', '20702', '20988', '20590', '20561', '20570', '20574', '21213', '21288', '20791', '21131', '21016', '20790', '20723', '21189', '21082', '20867']"
10051,"['21577', '21569', '21478', '21552', '21573', '27756', '28163', '21587', '21519', '28170', '21623', '21010', '21267', '35427', '20738']"
10054,"['35385', '35431', '20713', '20780', '20715', '20853', '39679', '35395']"
10061,"['21887', '21204', '20937', '39572', '21206', '26277', '21530', '21456', '21508', '21475', '21493', '21516', '21547', '21488', '21510', '21562', '21549', '21599', '21526', '21486', '21484', '21533', '21482', '21558', '21512', '21609']"
10063,"['36641', '36480']"
10064,"['36480', '36641']"
10069,"['20940', '21231', '20725', '24128', '22197', '21259', '26121', '21869', '22585', '21805', '21704', '21859', '21944', '21854', '21929', '21890', '21826', '22229', '22227', '22123', '22129', '35918', '35920', '25856', '25861', '22027', '22025', '24048', '21955', '22127', '30327', '30325', '33646', '32082', '25026', '29504', '35495']"
10070,"['29503', '35494', '32506', '32082', '28432', '32193', '21797', '22128', '21956', '22100', '35177', '22028', '25862', '22030', '35921', '39174', '39173', '22124', '22228', '22230', '21827', '21891', '35922', '21943', '21857', '21706', '21868', '35138', '21258', '20939', '21195', '20727', '21232', '20940']"
10071,"['21172', '22068', '21869', '22585', '21805', '21704', '21859', '21944', '21854', '21929', '21890', '21826', '22229', '22227', '22123', '22129', '35918', '35920', '25856', '25861', '22027', '22025', '24048', '21955', '22127', '30327', '30325', '33646', '32082', '25026', '29504', '35495']"
10072,"['29503', '35494', '32506', '32082', '28432', '32193', '21797', '22128', '21956', '22100', '35177', '22028', '25862', '22030', '35921', '39174', '39173', '22124', '22228', '22230', '21827', '21891', '35922', '21943', '21857', '21706', '21868', '20855', '21173']"
10075,"['20944', '21123', '21272', '23479', '35403', '21043', '21057', '21042', '20739', '20613', '20852', '20714', '20779', '25329']"
