stop_id,stop_lat,stop_lon,stop_name
22482,13.09943,77.58817,Sheshadripuram College
33142,12.76839,77.77011,Anekal Road Junction
24833,12.90424,77.47270,Depot-12 Kengeri
23309,13.01860,77.55537,Depot-26 Yeshawanthapura
33020,13.24270,77.82258,I Basapura
24860,12.97253,77.44263,Depot-35 Kannalli
24839,12.84740,77.67229,Depot-19 Electronic City
39492,12.90862,77.53855,Arehalli Arch
23625,12.75414,77.48453,Bolare Gate
36260,12.96296,77.56049,SRSC
36050,12.98765,77.57430,CNTRL
36202,12.92400,77.55328,KMK1
21078,12.98780,77.73366,Pattandur Agrahara Gate
24861,12.76888,77.41428,Depot-36 Bidadi
31848,13.10248,77.62770,Agrahara Layout Cross
26714,12.87084,77.63828,Subhashnagara Hosa Road
21212,13.04309,77.51288,T Dasarahalli
24849,12.78019,77.63446,Depot-27 Jigani
39130,12.92875,77.58014,JNMSC
22407,12.94826,77.49697,PVP School
39493,12.89329,77.53548,TRHF
39182,12.85470,77.36541,Bethimgere Gate
39539,13.27950,77.38020,Kattihosahalli
36261,12.95066,77.53768,DPJN
37227,12.97702,77.72689,WTTMC
36051,12.90721,77.60054,JPN3rd
36203,12.92514,77.55055,KTRGP1
20816,13.03500,77.62849,HBR Layout
30164,13.12130,77.36814,Bommanahalli
21191,12.92959,77.61584,St Johns Hospital
39387,13.17050,77.34653,Harsha Institute
37839,12.94017,77.53325,VBN
30152,13.15942,77.39788,Bolamaranahalli
37962,12.99319,77.57045,Mantri Green Apartment Sampige Talkies
24533,12.92985,77.76583,Chikka Nekkundi
20972,13.20205,77.45696,Madhure Village
22287,12.96694,77.62089,Military Accounts Office
35810,12.96687,77.66151,Jeevan Bheemanagara Cross1
21917,12.96048,77.64352,Domlur Flyover
36262,12.95100,77.53742,DPJN
37228,12.84800,77.63550,TGR
37840,12.99004,77.47275,NICE Toll Magadi Road
29728,13.17629,77.36669,Baradi
39540,12.84939,77.73777,Gopasandra
39616,13.01987,77.50181,D22G
35317,12.91400,77.65181,CPWD Quarters HSR Layout
36052,12.90606,77.59652,DLMC
21197,12.94171,77.56200,Subramanya Swamy Temple
30154,13.05288,77.35565,Bombay Estate Guruvanahalli
24537,13.23031,77.69109,Chikka Sanne Gate
22001,12.95460,77.68215,HAL Kalyana Mantap
30157,13.00280,77.30152,Bommanahalli
23874,12.91910,77.59999,Gurappanapalya
22022,12.95662,77.67535,Helicopter Division
21857,12.99534,77.60829,Coles Park
39096,12.95605,77.71488,KDLHG
37841,12.88155,77.54317,RGVC
31877,12.91277,77.47358,Bande Mutt Badavane Radiant Enclave
36053,12.90618,77.59504,DLMY1
36205,13.01738,77.55676,YTTMC
30365,12.76835,77.77015,Anekal Road Junction
32910,12.78849,77.67367,Hennagara
20760,13.02392,77.59889,Dinnur Main Road
39617,13.01910,77.50600,D22G
22394,12.90146,77.54411,Subramanyapura Police Station
36307,12.87361,77.62535,Beguru
22628,12.95498,77.68756,Yamalur Cross
32287,13.03781,77.35004,Chikka Tanda Manchenahalli Cross
37963,12.99326,77.57030,CS-Mantri Green Apartment Sampige Talkies
33422,13.09556,77.38107,Kempalinganahalli Cross
22745,12.91988,77.60019,Gurappanapalya
36263,12.99876,77.54988,NVRNG
39541,12.84942,77.73772,Gopasandra
21475,12.98504,77.48214,Byadarahalli
30200,12.89286,77.52894,Brigade Omega Apartment
22023,12.80676,77.69892,Hennagara Gate
35979,13.04087,77.54501,501-C4
36054,12.90720,77.60052,JPN3
37230,12.97719,77.60881,KMR
21865,12.96268,77.62756,Commando Hospital
38204,12.92043,77.66518,Sarjapura Road Ibbaluru Junction
22179,12.95997,77.64687,Kodihalli
20668,13.04271,77.57711,Bhoopasandra Ayyappa Bakery
38799,12.97737,77.71639,Kundalahalli Metro Station
22811,13.09266,77.35927,Yalachagere Cross
34276,12.89878,77.54389,Subramanyapura Post Office
37964,13.01322,77.66356,BCNDB
21192,12.92907,77.61527,St Johns Hospital
24547,12.84861,77.74180,Chikka Thimmasandra Colony
31883,12.83036,77.48568,Banjarapalya
36264,12.91926,77.66790,Shahi Exports PVT Ltd Unit-7
23656,12.97740,77.72693,White Field Bus Station (Vydehi Hospital)
39484,13.10061,77.55388,Mahatma Gandhi Layout
22812,13.09270,77.35932,Yalachagere Cross
21942,12.95977,77.74683,Forum Mall
37965,12.98486,77.60518,Russell Market
38033,12.85601,77.56900,Anjanapura 10 Block
36309,12.99279,77.52135,CS-Depot-31
22066,13.05358,77.53075,IAF Jalahalli
22347,12.94865,77.57567,National College
21280,12.95141,77.59510,Wilson Garden Police Station
37231,12.97514,77.60815,KMR1
36207,12.87149,77.58550,CS-Depot-34
35980,13.04064,77.54458,501-C5
25851,12.78863,77.67344,Hennagara
39573,13.21230,77.74829,Channahalli
21612,12.95244,77.33529,TG Halli Quarters
37842,12.95763,77.56211,RGVB
36265,12.91939,77.66765,CS-Shahi Exports PVT Ltd Unit-7
38205,12.70922,77.69838,ANK
24176,12.86238,77.67481,Dodda Nagamangala
37232,13.06830,77.91946,Doddadenahalli 1
37966,12.98483,77.60540,Russell Market
36056,12.90609,77.59658,DLMY1
36310,12.97975,77.51095,CS-BDA Complex Nagarabhavi
22577,12.95897,77.74642,Varthur kodi
35366,12.89532,77.86700,Chikka Thirupathi
21915,12.96045,77.64251,Domlur Flyover
39290,12.78503,77.66051,Jigani DLF Cloub House
25141,12.70278,77.39691,Dombara Doddy
33205,13.01351,77.59644,Kabir Ashrama
36969,12.95774,77.51886,Nagarabhavi Bus Station-Axis Bank ATM
28169,12.89885,77.71371,Sarjapura Wipro Campus
36266,12.92510,77.61909,CS-Madivala Mazid
38189,13.07003,77.42737,GJGDHL
22585,12.99278,77.59503,Vasantha Nagara
21559,12.97004,77.40989,Lakkuppe
37843,12.92529,77.55006,KTG
32130,12.89301,77.52884,Brigade Omega Apartment
36311,13.00432,77.68209,CS-ITI Factory
36057,13.09574,77.59386,ylk
36209,12.93830,77.53337,VBN
38035,13.00002,77.64056,SRMV
22160,12.89759,77.54631,Subramanyapura KEB
38206,12.72420,77.72072,Karpura Gate
34744,13.18151,77.57876,T Agrahara
38207,12.70935,77.69671,ANK
38190,13.06793,77.42693,GJGDHL
37844,12.92534,77.54996,KTG
37968,13.19967,77.68231,Cargo Village
38208,12.70914,77.69839,ANK
23404,12.89528,77.84535,Baguru Colony
32291,12.84866,77.74180,Chikka Thimmasandra Colony
35932,12.91608,77.61575,Kuvempunagara Bus station (BTM Layout)
22624,12.89639,77.54827,Yadalam Nagara
36267,12.97026,77.61079,CS-Garuda Mall Magrath Road
24551,12.85679,77.65274,Chikka Thoguru
38036,13.00215,77.63944,SRMV1
24549,12.89536,77.86697,Chikka Thirupathi
22242,12.95661,77.57376,Makkala Koota
22163,13.06556,77.54428,Kendriya Vidyalaya
32911,12.78859,77.67345,Hennagara
37233,12.95428,77.54399,MRBS
32076,12.84759,77.76370,Bikkana Hosahalli
38199,12.95170,77.77287,VPWG
38200,12.95739,77.77385,AGOGT1
35951,12.93067,77.54353,Hosakerehalli  Junction
37845,12.92524,77.54988,KTG
37969,13.19963,77.69561,DHFL
32295,13.26359,77.53248,Chikka Tumkur
38037,13.00037,77.64056,SMRV
35984,13.04168,77.54724,501-C1
37858,13.21896,77.69930,DDS
39389,13.18880,77.33539,Prabhakaranagar
38168,13.04998,77.59277,Navayuga Toll  (Military Dairy Farm)
36059,13.24322,77.38657,Ambalagere
39131,13.02873,77.51971,TVS
29143,12.84295,77.72754,Muttanalluru Gate
37234,12.95413,77.54404,MRBS Connector
38201,12.95747,77.77386,AGPGT1
23730,12.93788,77.56908,NR Colony
32389,13.30660,77.54574,D Cross Doddaballapura
23411,12.89332,77.85016,Ganagaluru Circle
38209,12.71826,77.73618,RCH
38214,12.95014,77.59592,WGPS
23619,12.70297,77.48082,Kebbedoddi Gate
34773,13.05156,77.63151,Telecom Layout Ashwath Nagara
38210,12.71986,77.73646,RCH
28602,13.20216,77.45699,Madhure Village
37970,13.19956,77.67919,KIA
38198,12.96846,77.75596,Rama Temple
36313,12.80177,77.39285,Depot-49 Bidadi
38202,12.95748,77.77396,GJPGT2
32562,12.70280,77.39699,Dombara Doddy
32937,13.04101,77.33828,Honnasandra
39486,13.08588,77.50509,Nanjundegowda layout
22204,13.00804,77.69217,KR Pura Govt Hospital
38215,12.96812,77.65477,Senior Officers Quaters
35985,13.04152,77.54692,501-C2
36269,12.91940,77.58949,MRBS
36212,12.87105,77.59343,LYLSC
23733,12.92907,77.56460,Indira Nursing Home
38038,13.18867,77.79459,Papanahalli Gate
38211,12.72024,77.73689,RCH
36270,12.91958,77.59002,JNN1
35986,13.04096,77.54522,501-C3
29329,12.83786,77.72468,Narayanaghatta Gate
34784,13.19668,77.82694,Thammarasanahalli
22252,12.97746,77.60771,Maniksha Parade Ground
37236,12.95387,77.54406,MRBSC
36314,12.80022,77.39193,BDD
37971,13.10800,77.57284,YSTF
32957,12.97485,77.82955,Hosahalli Cross Devanagondi
25283,12.95759,77.23518,Gandhi Circle Magadi
23794,12.94262,77.57696,MN Krishna Rao Park
39238,12.94602,77.59565,10th c
25925,13.04099,77.33824,Honnasandra
39388,13.18888,77.33538,Prabhakaranagar
39609,12.86800,77.52301,Prestige Primrose Hills
20806,12.97793,77.62830,Halasuru
22206,13.00821,77.69535,KR Pura Market
36271,12.91961,77.58951,JNN2
35987,13.04333,77.55206,501-C6
36315,12.80097,77.39204,BDD
24572,13.10510,77.82485,Chikkahullur
33323,13.20708,77.66833,Kannamangala Gate
30181,12.96819,77.28955,Bordugallu
37972,12.78852,77.51210,Concorde Napa Valley
37237,12.95371,77.54400,MRBS1
30183,13.00483,77.77764,Boregowdanapalya
36214,12.89240,77.58191,CS-Brigade Millenium
21689,13.04610,77.52231,Ayyappa Temple Jalahalli Cross
21688,13.04623,77.52243,Ayyappa Temple Jalahalli Cross
38212,12.72039,77.73825,RCH
38039,12.96508,77.87107,DMLRC
33403,13.28125,77.53137,KCP Kalyana Mantapa
25285,12.64478,77.49757,Gandhi Farm Gate
33973,12.87256,77.46762,Muneshwara Layout
21840,12.91168,77.55226,Chikkallasandra Aralimara
31443,12.82437,77.49000,Thimmegowdarapalya
37847,12.93896,77.52981,PMDL
35988,13.03839,77.54204,501-C7
36272,13.02143,77.70038,CS-TC Palya
36316,12.80040,77.39193,D49
25256,13.19593,77.61956,Gadenahalli Gate
37238,12.95346,77.54340,MRBS1
39132,13.02867,77.51971,TVSC
37973,12.79079,77.50490,PTRP
34792,13.19037,77.62759,Tharabanahalli
38040,13.02379,77.67920,NRLO
25823,12.81787,77.70903,Heelalige
36063,13.26850,77.38911,Kasaghatta
38192,13.03229,77.73139,Cipla Avalahalli
28527,12.98345,77.87104,Lingadeera Mallsandra Cross
38213,12.72028,77.73772,RCH
26902,12.84854,77.51610,Thataguni BWSSB
37848,12.93920,77.53126,PMDL
36076,13.17669,77.40053,KJGH
21841,12.91157,77.55238,Chikkallasandra Aralimara
26923,13.22041,77.74816,Thellahalli Gate
39574,13.21232,77.74833,Channahalli
38218,12.96812,77.65471,CS-Senior Officers Quaters
36273,12.99196,77.60368,CS-Bamboo Bazaar
36216,12.88437,77.59663,HLMG
31901,13.10231,77.38869,Basavanahalli Cross
25266,12.91382,77.86169,Ganagaluru Cross
35989,13.03484,77.54118,GGP3
37239,12.95380,77.54311,MRBS2
33703,12.76212,77.67869,Lingapura
32781,13.28017,77.76282,Chikka Tattamangala Gate
35916,12.80181,77.70512,Chandapura
38041,13.02990,77.67764,NRI Layout
22205,13.00821,77.69214,KR Pura Govt Hospital
36318,13.00032,77.67612,KRP
33380,12.72449,77.72088,Karpura Gate
31428,13.26947,77.76217,Dodda Thimmanahalli
28295,12.98784,77.57449,Swastik Sheshadripuram
35990,13.03833,77.54195,501-CD2
37240,12.95358,77.54322,MRBS2
24580,13.25705,77.76370,Chikkamaranahalli
34194,12.78122,77.63079,OTC Circle
36906,12.91375,77.48740,Kengeri bus station -Nirashrithara Seva Kendra
23519,13.06835,77.56952,Tennis Court Thindlu
38042,13.01322,77.76119,Seegehalli Gate Kadugodi
23546,12.79019,77.50452,Gandhi Nagara
30187,12.80020,77.42063,Bosch Main Gate Bidadi
36274,13.09408,77.65470,CS-Kannur Circle
30192,12.96334,77.47212,Brahma Devara Gudda
35009,13.12475,77.76944,Thimmasandra
20946,13.00798,77.69271,KR Pura Govt Hospital
23248,13.01020,77.65760,B Channasandra
39487,13.08588,77.50515,Nanjundegowda layout
32308,13.09665,77.32266,Chikkamaranahalli Colony
36319,13.00020,77.67631,KRP
35991,13.04125,77.54592,GGP7
30236,12.78692,77.31067,Burumarana Doddy
37241,12.97729,77.60873,KMR
39390,13.17038,77.34653,Harsha Institute
22351,12.95371,77.61752,Neelasandra Rose Garden
36275,12.99477,77.60981,CS-St Johns High School Thomas Cafe
36066,13.23008,77.27239,Asian Paints Dabaspet
37850,12.91756,77.62379,Central Silk Board
39169,13.05940,77.50701,MLS1
37976,13.04276,77.42496,CS-Centre For Nano And Soft Matter Sciences
39680,13.05519,77.57318,Tatanagara
35003,12.82430,77.48999,Thimmegowdarapalya
31805,12.76223,77.41606,Thimmegowdana Doddy
31948,12.99490,77.24643,Belagumba
38217,12.96816,77.65469,Senior Officers Quaters
38216,12.96814,77.65479,CS-Senior Officers Quaters
37977,12.86070,77.74112,CS-Kada agrahara
34007,12.84306,77.72747,Muttanalluru Gate
37242,12.90780,77.69362,Nandi Kitchen Doddakannahalli
22818,12.89609,77.57010,Yalachenahalli Metro Station
23989,12.97707,77.48056,BTS Layout Basaveshwaranagara
26474,12.83497,77.71904,Singena Agrahara Cross
29983,12.75734,77.76184,Bhakthipura Cross
36818,12.97785,77.57343,Kempegowda Bus Station-Public Toilet - 4
39663,12.87661,77.62602,Sri Nagareshwara Temple Beguru
28552,13.04893,77.56748,Lottegollahalli
24156,12.82802,77.62331,Hullahalli Cross
30235,13.06408,77.32832,Buragamarada Palya
36321,12.86176,77.52999,Silk Institute Metro Station
31808,13.23444,77.59397,Thindlu
37243,13.08189,77.61194,JKR
36277,13.06773,77.58023,CS-Show Mall Sahakara Nagara
36220,12.91169,77.55229,CKLS
37978,12.92391,77.69521,CS-Devarabisanahalli
38045,12.93312,77.74279,KK School
36068,13.21928,77.29097,Bharath Petrol Bunk Thyamagondlu
29094,13.05252,77.50041,Munikondappa Layout Widia Factory
32889,13.10478,77.62978,Hazarath Tippu Nagara
28603,12.92472,77.61867,Madivala Masidi
24599,13.13180,77.90317,Chikkanahalli
25317,12.84626,77.47073,Gangasandra
39575,13.17414,77.74387,Kaggalahalli Gate
39245,12.95417,77.59838,BMTC Central Work Shop-1 Shanthinagara
32316,12.88160,77.35521,Chikkanahalli
36322,12.99548,77.53683,KML
32319,12.88186,77.35537,Chikkanahalli
30171,13.12580,77.41669,Bommashettyhalli Cross
22757,12.80092,77.57748,Bannerughatta National Park
37244,12.91186,77.64910,PRP
36069,12.99099,77.57477,CNTRL
36221,12.91172,77.55235,CKLSA1
38046,12.91719,77.62282,CSB 1
33816,13.02131,77.60708,Manjushree Hospital
24321,12.92663,77.78176,Janthagundanahalli Cross
39161,12.69736,77.47798,HAHOH
24110,13.05955,77.58992,Ganesha Temple Sahakara Nagara
37979,12.90220,77.70850,CS-Belenus Hospital Near Carmelram Gate
31885,13.25811,77.55281,Bank Circle Bashettyhalli
35346,12.89496,77.55515,Pipeline Vasanthapura
39181,12.85467,77.36538,Bethimgere Gate
37852,13.04250,77.61357,Veerannapalya
36279,13.10220,77.58288,CS-Malya Adithi School
37245,12.91155,77.64911,PRP
36281,12.98791,77.53725,CS-Havanur Circle
32326,13.05107,77.88648,Chikkathaggali
26331,12.91300,77.56344,JHBCS Layout Cross
